# FA11y main game objects (S41 / map 41.01) - fortnite.gg data aligned to in-game main.png 2026-06-17
# ObjectType,X,Y (image 0-866/0-926)
Ammo Boxes,706.897182,877.645037
Ammo Boxes,636.129522,827.519589
Ammo Boxes,641.970913,831.821694
Ammo Boxes,636.090053,827.282776
Ammo Boxes,636.168991,826.414461
Ammo Boxes,636.563680,826.217116
Ammo Boxes,637.787214,823.888454
Ammo Boxes,636.997837,826.493398
Ammo Boxes,640.826316,826.059241
Ammo Boxes,628.156813,816.823528
Ammo Boxes,638.497654,830.124533
Ammo Boxes,638.537122,828.979936
Ammo Boxes,637.234650,828.861530
Ammo Boxes,639.010749,825.625084
Ammo Boxes,623.578426,830.203471
Ammo Boxes,637.116244,810.390105
Ammo Boxes,627.643718,829.335156
Ammo Boxes,623.499488,832.729478
Ammo Boxes,634.866519,813.666020
Ammo Boxes,634.195548,826.572336
Ammo Boxes,533.905183,661.513577
Ammo Boxes,155.793534,478.535957
Ammo Boxes,162.897929,476.167825
Ammo Boxes,151.057272,473.641818
Ammo Boxes,169.686572,476.404638
Ammo Boxes,171.344264,486.153446
Ammo Boxes,181.014134,484.772036
Ammo Boxes,177.106717,483.272219
Ammo Boxes,179.040691,483.351157
Ammo Boxes,157.806446,473.523412
Ammo Boxes,178.330252,478.338612
Ammo Boxes,591.174494,382.231946
Ammo Boxes,586.556638,385.586799
Ammo Boxes,159.148387,159.548656
Ammo Boxes,157.293351,166.061017
Ammo Boxes,149.281173,155.049206
Ammo Boxes,170.160198,158.561934
Ammo Boxes,162.226958,161.679974
Ammo Boxes,159.779889,163.298197
Ammo Boxes,670.270083,656.540501
Ammo Boxes,706.778776,637.990138
Ammo Boxes,367.109794,778.538737
Ammo Boxes,380.726550,787.616574
Ammo Boxes,372.003932,790.300457
Ammo Boxes,365.333695,777.591485
Ammo Boxes,365.215289,777.907236
Ammo Boxes,365.333695,778.144049
Ammo Boxes,364.899538,774.868134
Ammo Boxes,369.477925,786.077289
Ammo Boxes,599.857643,460.893378
Ammo Boxes,120.389970,99.950682
Ammo Boxes,122.284475,99.674400
Ammo Boxes,124.021105,94.188229
Ammo Boxes,112.969825,93.872478
Ammo Boxes,123.863229,96.240609
Ammo Boxes,177.698750,766.145516
Ammo Boxes,174.896461,781.577839
Ammo Boxes,655.074573,513.150144
Ammo Boxes,652.035471,509.834760
Ammo Boxes,189.894627,552.382188
Ammo Boxes,197.433178,430.305013
Ammo Boxes,197.393710,430.265545
Ammo Boxes,75.513880,444.711146
Ammo Boxes,230.350205,150.786569
Ammo Boxes,232.520992,151.891697
Ammo Boxes,170.910107,492.626338
Ammo Boxes,189.223656,511.097763
Ammo Boxes,166.331719,503.203992
Ammo Boxes,171.541608,502.256739
Ammo Boxes,179.080160,495.310221
Ammo Boxes,157.766977,513.623770
Ammo Boxes,154.806813,509.282196
Ammo Boxes,179.395911,498.783480
Ammo Boxes,177.422468,497.915165
Ammo Boxes,155.319908,511.374045
Ammo Boxes,154.530531,510.387324
Ammo Boxes,150.623114,512.123954
Ammo Boxes,154.372656,523.333109
Ammo Boxes,172.804612,501.822582
Ammo Boxes,155.477784,500.914798
Ammo Boxes,234.336560,588.259379
Ammo Boxes,105.076053,95.372294
Ammo Boxes,710.725662,885.657215
Ammo Boxes,290.737556,775.973262
Ammo Boxes,314.774090,772.421065
Ammo Boxes,485.595302,478.101799
Ammo Boxes,488.713342,485.048318
Ammo Boxes,485.871584,471.707844
Ammo Boxes,486.424148,488.718922
Ammo Boxes,489.581657,483.706377
Ammo Boxes,483.819204,469.023962
Ammo Boxes,238.125570,815.599994
Ammo Boxes,252.886922,804.903934
Ammo Boxes,250.795073,800.759704
Ammo Boxes,253.123735,799.694045
Ammo Boxes,250.281978,797.325913
Ammo Boxes,253.163204,800.680766
Ammo Boxes,294.921255,744.753396
Ammo Boxes,282.449096,732.794332
Ammo Boxes,302.025649,727.742319
Ammo Boxes,474.307209,666.249840
Ammo Boxes,505.684950,491.758024
Ammo Boxes,508.013613,495.468096
Ammo Boxes,502.882661,499.414982
Ammo Boxes,507.539987,497.402070
Ammo Boxes,505.803357,496.218004
Ammo Boxes,504.421947,511.610859
Ammo Boxes,504.343009,514.255272
Ammo Boxes,503.593101,516.347121
Ammo Boxes,516.065260,501.822582
Ammo Boxes,315.918687,610.914502
Ammo Boxes,315.247716,605.033643
Ammo Boxes,453.586059,619.676589
Ammo Boxes,472.175891,622.360471
Ammo Boxes,460.690454,621.492156
Ammo Boxes,464.439995,621.926313
Ammo Boxes,622.118078,581.194453
Ammo Boxes,622.789049,587.430533
Ammo Boxes,622.946924,585.891247
Ammo Boxes,620.184104,583.404709
Ammo Boxes,619.394727,595.876868
Ammo Boxes,622.275953,585.575496
Ammo Boxes,620.697199,584.628244
Ammo Boxes,621.723389,578.786853
Ammo Boxes,295.000193,458.643653
Ammo Boxes,299.104954,471.984126
Ammo Boxes,297.802481,653.501399
Ammo Boxes,284.975103,643.555247
Ammo Boxes,336.481961,474.431195
Ammo Boxes,236.152127,592.087858
Ammo Boxes,240.454232,595.324304
Ammo Boxes,250.084633,601.165695
Ammo Boxes,238.717603,590.390697
Ammo Boxes,236.467878,605.467800
Ammo Boxes,247.953315,606.336115
Ammo Boxes,244.203774,605.941426
Ammo Boxes,424.773794,796.181316
Ammo Boxes,424.300168,794.997251
Ammo Boxes,516.025791,412.149339
Ammo Boxes,380.173986,793.536903
Ammo Boxes,368.135984,806.482688
Ammo Boxes,368.135984,807.745691
Ammo Boxes,367.583420,818.678565
Ammo Boxes,500.672405,488.561046
Ammo Boxes,505.092917,484.416816
Ammo Boxes,530.668737,489.547768
Ammo Boxes,523.998500,488.087420
Ammo Boxes,518.314984,468.155647
Ammo Boxes,514.407568,465.234952
Ammo Boxes,505.250793,466.892644
Ammo Boxes,498.856838,468.352991
Ammo Boxes,517.170388,490.376614
Ammo Boxes,516.341542,489.034672
Ammo Boxes,506.198045,470.878998
Ammo Boxes,497.791179,470.918467
Ammo Boxes,499.883028,472.852441
Ammo Boxes,348.322618,505.453717
Ammo Boxes,329.022347,501.664707
Ammo Boxes,193.367886,447.868655
Ammo Boxes,197.827867,486.192915
Ammo Boxes,195.025578,480.864619
Ammo Boxes,193.880981,489.153079
Ammo Boxes,182.435013,620.189684
Ammo Boxes,618.723756,571.800865
Ammo Boxes,603.133558,534.265982
Ammo Boxes,150.741521,670.236194
Ammo Boxes,153.504341,679.511376
Ammo Boxes,163.095273,667.354968
Ammo Boxes,160.687673,665.223649
Ammo Boxes,163.924119,670.354601
Ammo Boxes,160.845548,667.710187
Ammo Boxes,149.912675,662.263485
Ammo Boxes,150.780990,667.947000
Ammo Boxes,166.884283,682.747822
Ammo Boxes,162.305896,682.589946
Ammo Boxes,385.265468,239.867779
Ammo Boxes,122.087131,340.552833
Ammo Boxes,615.526779,349.354388
Ammo Boxes,610.316890,329.698897
Ammo Boxes,616.079343,338.697797
Ammo Boxes,610.672109,329.935711
Ammo Boxes,610.198483,327.212359
Ammo Boxes,598.278888,324.883697
Ammo Boxes,597.292167,318.213460
Ammo Boxes,202.169441,494.599781
Ammo Boxes,417.511524,520.294007
Ammo Boxes,421.616285,518.004813
Ammo Boxes,424.300168,513.150144
Ammo Boxes,425.760515,519.386223
Ammo Boxes,425.760515,520.570289
Ammo Boxes,411.433320,515.518275
Ammo Boxes,412.420042,509.124321
Ammo Boxes,423.708135,501.822582
Ammo Boxes,325.114930,634.003784
Ammo Boxes,336.955587,641.068709
Ammo Boxes,352.822068,640.397738
Ammo Boxes,354.045602,633.293344
Ammo Boxes,348.125274,642.055430
Ammo Boxes,352.664192,643.239496
Ammo Boxes,354.361353,639.884643
Ammo Boxes,347.770054,620.742248
Ammo Boxes,347.138552,627.530891
Ammo Boxes,359.176554,638.384827
Ammo Boxes,309.208981,530.358566
Ammo Boxes,308.814292,525.424958
Ammo Boxes,487.252994,494.323499
Ammo Boxes,484.726987,509.597947
Ammo Boxes,476.793747,505.651061
Ammo Boxes,513.105095,562.723028
Ammo Boxes,591.963871,717.362009
Ammo Boxes,592.950593,717.204134
Ammo Boxes,582.728159,708.086828
Ammo Boxes,594.371472,719.690672
Ammo Boxes,600.291800,707.692139
Ammo Boxes,286.632795,438.751349
Ammo Boxes,123.942167,121.184927
Ammo Boxes,713.567419,230.316316
Ammo Boxes,458.993293,279.612918
Ammo Boxes,683.136931,577.602787
Ammo Boxes,685.465593,577.050223
Ammo Boxes,684.834091,578.234289
Ammo Boxes,686.728597,613.637853
Ammo Boxes,703.937018,230.947818
Ammo Boxes,526.682382,230.868880
Ammo Boxes,525.498316,228.224466
Ammo Boxes,512.868282,229.921627
Ammo Boxes,502.606379,225.895804
Ammo Boxes,504.658760,223.882892
Ammo Boxes,510.697495,225.737928
Ammo Boxes,508.013613,222.027856
Ammo Boxes,523.209123,226.408899
Ammo Boxes,502.369566,226.527306
Ammo Boxes,508.250426,227.277214
Ammo Boxes,508.171488,219.778131
Ammo Boxes,137.282641,492.192181
Ammo Boxes,148.452327,509.597947
Ammo Boxes,145.610569,505.335310
Ammo Boxes,146.242071,515.636682
Ammo Boxes,142.334654,516.504997
Ammo Boxes,149.478517,512.084485
Ammo Boxes,447.152636,301.715478
Ammo Boxes,434.996228,294.926835
Ammo Boxes,436.772326,276.850098
Ammo Boxes,113.680264,464.840263
Ammo Boxes,113.482920,466.813706
Ammo Boxes,147.939232,477.391360
Ammo Boxes,538.680915,422.569118
Ammo Boxes,539.588698,413.846500
Ammo Boxes,543.811866,432.436332
Ammo Boxes,540.022856,424.384685
Ammo Boxes,551.547762,425.253000
Ammo Boxes,547.798221,424.818842
Ammo Boxes,552.455546,407.807765
Ammo Boxes,623.262675,840.425905
Ammo Boxes,239.467511,251.471623
Ammo Boxes,242.625019,232.289759
Ammo Boxes,241.638298,232.329228
Ammo Boxes,237.020442,258.931237
Ammo Boxes,118.021838,700.942965
Ammo Boxes,116.719366,700.548276
Ammo Boxes,147.465606,670.709820
Ammo Boxes,146.597291,681.800569
Ammo Boxes,148.018170,665.894620
Ammo Boxes,149.675862,667.394436
Ammo Boxes,120.745190,666.013026
Ammo Boxes,121.416160,666.249840
Ammo Boxes,118.692809,665.815682
Ammo Boxes,120.784658,684.405514
Ammo Boxes,123.389603,682.629415
Ammo Boxes,122.166068,670.749289
Ammo Boxes,121.850318,673.709454
Ammo Boxes,118.021838,685.668517
Ammo Boxes,117.508743,695.930420
Ammo Boxes,117.745556,697.114486
Ammo Boxes,116.285209,697.627581
Ammo Boxes,118.771747,696.048827
Ammo Boxes,57.160861,333.132688
Ammo Boxes,216.930794,264.062188
Ammo Boxes,102.392171,365.891839
Ammo Boxes,101.563325,369.601912
Ammo Boxes,68.962049,392.849068
Ammo Boxes,346.191300,209.161009
Ammo Boxes,337.626558,207.542785
Ammo Boxes,336.600368,207.266503
Ammo Boxes,341.139286,209.871448
Ammo Boxes,348.441025,209.437291
Ammo Boxes,340.823535,209.200477
Ammo Boxes,351.243314,213.857803
Ammo Boxes,14.218745,733.504772
Ammo Boxes,17.376254,725.650469
Ammo Boxes,17.494660,714.914940
Ammo Boxes,371.096148,388.428556
Ammo Boxes,304.630594,229.763752
Ammo Boxes,343.586355,233.394887
Ammo Boxes,386.844222,217.133718
Ammo Boxes,384.989186,214.331429
Ammo Boxes,528.813700,284.191305
Ammo Boxes,256.083900,620.387028
Ammo Boxes,242.269800,651.330612
Ammo Boxes,256.399651,649.159825
Ammo Boxes,348.756776,602.231354
Ammo Boxes,350.888094,598.244999
Ammo Boxes,329.535442,594.219176
Ammo Boxes,330.640570,594.653333
Ammo Boxes,327.798813,594.890146
Ammo Boxes,337.626558,595.679524
Ammo Boxes,346.901739,610.006719
Ammo Boxes,352.506317,611.111847
Ammo Boxes,347.454303,614.545637
Ammo Boxes,347.651648,610.993440
Ammo Boxes,342.086539,609.059466
Ammo Boxes,347.691116,603.849577
Ammo Boxes,356.295327,602.073478
Ammo Boxes,332.179856,588.417254
Ammo Boxes,329.456505,612.493257
Ammo Boxes,329.495973,612.019630
Ammo Boxes,356.492671,611.427597
Ammo Boxes,335.613646,591.653700
Ammo Boxes,329.653849,613.006352
Ammo Boxes,248.821630,516.544466
Ammo Boxes,275.305233,500.914798
Ammo Boxes,256.636464,527.753621
Ammo Boxes,255.847087,530.476972
Ammo Boxes,225.061378,735.083526
Ammo Boxes,120.745190,415.464723
Ammo Boxes,618.960569,315.450640
Ammo Boxes,710.686193,539.554809
Ammo Boxes,713.606888,534.265982
Ammo Boxes,716.764397,569.669547
Ammo Boxes,717.356430,533.476605
Ammo Boxes,712.659636,536.278894
Ammo Boxes,715.540862,549.540430
Ammo Boxes,724.026666,538.015524
Ammo Boxes,712.738573,540.383655
Ammo Boxes,719.290404,542.199223
Ammo Boxes,725.763296,537.541897
Ammo Boxes,724.145073,537.344553
Ammo Boxes,722.368974,536.594645
