# FA11y main game objects (S41) - aligned to in-game main.png 2026-06-06
# ObjectType,X,Y (image 0-866/0-926)
Chests,147.770799,659.692546
Chests,111.987067,622.055982
Chests,193.565610,191.711478
Chests,233.175491,193.052085
Chests,223.549336,200.548159
Chests,192.856098,224.180527
Chests,461.646704,421.830105
Chests,478.611132,424.275805
Chests,680.219285,849.446635
Chests,394.110164,700.244504
Chests,415.523262,214.273773
Chests,415.641536,209.973498
Chests,440.417791,229.146715
Chests,440.338349,201.254119
Chests,640.293390,827.472613
Chests,637.492222,823.724723
Chests,639.977742,825.815634
Chests,636.229782,825.026665
Chests,637.216176,829.839796
Chests,637.807956,829.839784
Chests,635.637997,824.789964
Chests,654.890670,828.655894
Chests,624.946566,828.656471
Chests,626.682214,816.071234
Chests,627.787008,823.172581
Chests,627.234819,830.431769
Chests,631.574581,832.325383
Chests,407.677612,489.728118
Chests,407.677611,489.688666
Chests,407.677610,489.649214
Chests,534.637591,660.553037
Chests,532.901716,661.302659
Chests,502.049556,627.137781
Chests,539.132728,536.160645
Chests,542.407335,540.658116
Chests,565.841722,533.950816
Chests,562.685653,538.921835
Chests,178.302635,449.570353
Chests,162.877347,473.557495
Chests,149.779387,479.751719
Chests,169.347766,488.272984
Chests,172.069910,485.826905
Chests,166.230760,472.965650
Chests,163.745374,477.818300
Chests,178.816152,482.788967
Chests,180.591433,479.632769
Chests,177.869257,480.421863
Chests,170.333813,475.056530
Chests,153.093264,474.820149
Chests,159.287320,479.238659
Chests,149.660927,474.386243
Chests,588.208195,386.675893
Chests,586.353947,386.597024
Chests,607.775917,361.071137
Chests,599.372703,364.819243
Chests,184.727990,172.971926
Chests,157.703113,161.294641
Chests,161.687791,162.438673
Chests,150.838304,153.404364
Chests,169.499233,159.124551
Chests,278.707457,416.428699
Chests,414.301296,268.599266
Chests,416.905009,262.286888
Chests,445.586112,234.512094
Chests,450.123245,242.165704
Chests,683.923560,630.566605
Chests,685.738350,630.329858
Chests,668.222225,660.629367
Chests,668.458852,656.210734
Chests,703.570786,636.050061
Chests,398.093961,655.663614
Chests,372.331147,623.116171
Chests,369.730272,776.742493
Chests,384.209342,785.461117
Chests,378.567719,786.526431
Chests,371.308479,783.212599
Chests,366.692289,767.629129
Chests,383.065091,778.123058
Chests,375.095740,776.190061
Chests,401.568013,773.546264
Chests,401.568005,773.151744
Chests,380.619278,789.248583
Chests,599.690147,459.661959
Chests,121.997788,97.856437
Chests,125.430050,94.463495
Chests,122.037179,94.700272
Chests,111.385016,88.979931
Chests,118.131553,101.288839
Chests,337.604439,160.817750
Chests,345.100672,178.649931
Chests,350.426758,181.766540
Chests,19.082304,871.631423
Chests,184.187081,765.699495
Chests,187.658889,767.119702
Chests,157.951648,774.971232
Chests,170.812562,751.418112
Chests,188.566682,787.713653
Chests,182.885374,776.627737
Chests,163.632950,785.702079
Chests,685.504400,773.698602
Chests,646.639171,516.116934
Chests,653.582639,511.343103
Chests,654.884620,514.657049
Chests,493.167105,329.156639
Chests,492.812041,329.393358
Chests,487.762178,329.354003
Chests,162.168361,533.287909
Chests,182.605204,568.715453
Chests,154.199607,562.324769
Chests,189.351167,551.238066
Chests,229.195404,430.237870
Chests,231.049634,429.409341
Chests,355.805563,873.439730
Chests,347.756969,853.950573
Chests,359.947460,844.008423
Chests,338.126981,662.489973
Chests,326.094706,693.617871
Chests,64.088722,437.302967
Chests,75.135442,444.917000
Chests,95.176502,414.814701
